id,topic,page_title,section_heading,content,source,url
1,Special Groups,Funded vaccines for special groups,（主文）,"页面标题：Funded vaccines for special groups
章节：（主文）
---
- Guidance and programmes /

- Funded vaccines for special groups

A s described in chapter 4 , certain vaccines may be given in addition to or instead of the routine Schedule vaccines as part of an extended immunisation programme for special groups.

Individuals eligible for funded vaccine

Post-HSCT or chemotherapy; pre- or post-splenectomy or with functional asplenia; pre- or post-solid organ transplant (SOT), pre- or post-cochlear implants, renal dialysis and other severely immunosuppressive regimens. Testing for primary immune deficiency.

Transplant patients. Children with chronic liver disease. Close contacts of hepatitis A cases.

HepB and HBIG

HepB and HBIG at birth for babies of mothers with chronic HBV infection. HepB for: household or sexual contacts of HBsAg-positive patients; children <18 years who have not achieved positive serology and who require additional vaccination; HIV- or hepatitis C-positive patients; following non-consensual sexual intercourse; following immunosuppression; SOT; post-HSCT; following needle-stick injury; dialysis and liver or kidney transplant.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/funded-vaccines-for-special-groups
2,Special Groups,Funded vaccines for special groups,（主文）,"页面标题：Funded vaccines for special groups
章节：（主文）
---
Individuals aged 9–26 years: with confirmed HIV infection; transplant (including stem cell) patients; post-chemotherapy.

Pregnant women.

Individuals aged 6 months to <65 years with certain medical conditions.

For (re-)vaccination following immunosuppression.

MenACWY and MenB

Pre- or post-splenectomy or with functional asplenia; with HIV, complement deficiency (acquired or inherited) or pre- or post-SOT; close contacts of meningococcal cases; prior meningococcal disease (any group); HSCT patients; prior to planned immunosuppression; following immunosuppression.

Pertussis-containing vaccine

Tdap for pregnant women, recommended from 16 weeks’ gestation of every pregnancy, preferably in the second trimester, but at least two weeks before birth. (Funded when given any time in second or third trimester.) Tdap is funded for parents or primary caregivers of infants admitted to a Neonatal Intensive Care Unit or Specialist Care Baby Unit for more than 3 days.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/funded-vaccines-for-special-groups
3,Special Groups,Funded vaccines for special groups,（主文）,"页面标题：Funded vaccines for special groups
章节：（主文）
---
Tdap, DTaP-IPV-HepB/Hib or DTaP-IPV for (re-)vaccination: post-HSCT or chemotherapy; pre- or post-splenectomy; pre- or post-SOT, renal dialysis and other severely immunosuppressive regimens.

PCV13 and 23PPV

Children and adults with eligible conditions.

PCV13 and 23PPV for testing for primary immune deficiency.

For (re-)vaccination following immunosuppression.

For (re-)vaccination following immunosuppression; boosting of patients with tetanus-prone wounds; testing for primary immune deficiency.

Infants and children <5 years at increased risk of TB.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/funded-vaccines-for-special-groups
4,Special Groups,Funded vaccines for special groups,（主文）,"页面标题：Funded vaccines for special groups
章节：（主文）
---
Varicella non-immune patients: with chronic liver disease who may need a transplant in the future; with deteriorating renal function before transplant; prior to SOT; prior to elective immunosuppression; for post-exposure prophylaxis of immune-competent in-patients; HIV-positive with mild or moderate immunosuppression, on advice of their specialist. Patients at least 2 years after HSCT or at least 6 months after completion of chemotherapy, on advice of their specialist. Patients with inborn errors of metabolism at risk of major metabolic decompensation, with no clinical history of varicella. Household members with no clinical history of varicella: of paediatric patients who are immunocompromised or undergoing a procedure leading to immunocompromise; of adult patients who have no clinical history of varicella and who are severely immunocompromised or undergoing a procedure leading to immunocompromise.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/funded-vaccines-for-special-groups
5,Special Groups,Funded vaccines for special groups,（主文）,"页面标题：Funded vaccines for special groups
章节：（主文）
---
Individuals aged from 18 years who are pre/ post HSCT or cellular therapy; pre/post SOT; with haematological malignancies; with poorly controlled HIV infection; individuals with certain rheumatological diseases receiving DMARDS; with end-stage CKD 4 or 5; or primary immunodeficiencies.

For details by vaccine and special groups, see the most current IMAC factsheet ‘ Funded vaccines for special groups ’ (available on the IMAC website (external link) ).

Also, see the Pharmaceutical Schedule (external link) for the number of funded doses and any changes to the funding decisions.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/funded-vaccines-for-special-groups
6,Special Groups,Funded vaccines for special groups,Also in this section,"页面标题：Funded vaccines for special groups
章节：Also in this section
---
- Guidance and programmes

- National Stroke Clot Retrieval Service Improvement

- Communicable Disease Control Manual

- Diseases and conditions

- Specific life stage health information

- Data and statistics

- Employment relations

- Health sector updates

- Health workforce development

- Hospital and specialist services

- Immunisation

- My Health Account Workforce

- Voluntary Bonding Scheme

- Youth health",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/funded-vaccines-for-special-groups
7,Anaphylaxis,Anaphylaxis response/management,（主文）,"页面标题：Anaphylaxis response/management
章节：（主文）
---
- Guidance and programmes /

- Anaphylaxis response/management

CALL FOR HELP – send for professional assistance (ambulance, doctor). Never leave the individual alone. ASSESS FOR ANAPHYLAXIS (see Table 2.10 (external link) for full details) Airway and breathing Noisy breathing due to airways obstruction; or respiratory arrest Circulation/shock Tachycardia; hypotension; dysrhythmias; circulatory arrest Skin changes Red, raised and itchy rash; swollen eyes and face; generalised rash If cardiac arrest – commence age-appropriate CPR and life support measures LAY THE PATIENT DOWN (do not allow them to stand) If they have breathing difficulties, elevate the head and chest. ADMINISTER ADRENALINE by deep IM injection into outer thigh Adrenaline dosage for 1:1,000 formulation is 0.01 mL/kg up to a maximum of 0.5 ml. For those under 10 kg or if weight is not known, use the following guidelines:

under 2 years

12 years and over",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/anaphylaxis-responsemanagement
8,Anaphylaxis,Anaphylaxis response/management,（主文）,"页面标题：Anaphylaxis response/management
章节：（主文）
---
You can expect to see some response to the adrenaline within 1–2 minutes. If necessary, adrenaline can be repeated at 5–15-minute intervals, while waiting for assistance. ADMINISTER OXYGEN, if available, at high flow rates when there is respiratory distress, stridor or wheeze. IF HYPOTENSIVE, ELEVATE LEGS. RECORD VITAL SIGNS every 5–10 minutes. All observations and interventions need to be clearly documented in medical notes and should accompany the individual to hospital. ADMIT TO HOSPITAL – all cases of anaphylaxis should be admitted to hospital for observation. Rebound anaphylaxis can occur 12–24 hours after the initial episode.

Note: IV adrenaline should only be used with extreme caution by medical staff. It is not appropriate as a first-line management",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/anaphylaxis-responsemanagement
9,Anaphylaxis,Anaphylaxis response/management,Also in this section,"页面标题：Anaphylaxis response/management
章节：Also in this section
---
- Guidance and programmes

- National Stroke Clot Retrieval Service Improvement

- Communicable Disease Control Manual

- Diseases and conditions

- Specific life stage health information

- Data and statistics

- Employment relations

- Health sector updates

- Health workforce development

- Hospital and specialist services

- Immunisation

- My Health Account Workforce

- Voluntary Bonding Scheme

- Youth health",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/anaphylaxis-responsemanagement
10,Immunisation Schedule,National Immunisation Schedule,（主文）,"页面标题：National Immunisation Schedule
章节：（主文）
---
- Guidance and programmes /

- National Immunisation Schedule

DTaP-IPV-HepB/Hib

Infanrix-hexa

Infanrix-IPV

Influvac Tetra

DTaP-IPV-HepB/Hib

DTaP-IPV-HepB/Hib

DTaP-IPV-HepB/Hib

11 or 12 years

HPV9 (2 doses)

Influenza (annually)

rZV (2 doses)

D = diphtheria; T = tetanus; aP = acellular pertussis; IPV = inactivated polio vaccine; HepB = hepatitis B; Hib = Haemophilus influenzae type b; PCV13 = 13-valent pneumococcal conjugate vaccine; RV1 = rotavirus vaccine (monovalent); MenB = meningococcal B vaccine; MMR = measles, mumps and rubella; VV = varicella vaccine; d = adult diphtheria; ap = adult acellular pertussis; HPV9 = human papillomavirus (9 serotypes); rZV = herpes zoster vaccine.

a. Liquid paracetamol is approved under this immunisation programme to be administered with Bexsero vaccine for children under 2 years old. See section 13.5.1 and A9.3.2 .

b. For children at high risk of pneumococcal disease, an additional dose of PCV13 is given at age 3 months.

c. An alternative approved schedule for MenB given at 8 weeks (2 months), 4 months and 12 months is available.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/national-immunisation-schedule
